Państwo,pkb_per_capita
Belgium,120
Bulgaria,62
Czechia,90
Denmark,136
Germany,117
Estonia,85
Ireland,235
Greece,67
Spain,86
France,100
Croatia,73
Italy,97
Cyprus,94
Latvia,73
Lithuania,89
Luxembourg,256
Hungary,76
Malta,104
Netherlands,130
Austria,124
Poland,79
Portugal,79
Romania,76
Slovenia,90
Slovakia,71
Finland,110
Sweden,119
Iceland,126
Norway,212
Switzerland,159
United Kingdom,86
Bosnia and Herzegovina,35
Montenegro,50
North Macedonia,42
Albania,34
Serbia,44
