Panstwo,Wydatki_na_mieszkanca
Belgium,26 700
Bulgaria,16 100
Czechia,19 300
Denmark,25 700
Germany,27 400
Estonia,18 200
Ireland,21 900
Greece,18 100
Spain,20 000
France,24 900
Croatia,17 600
Italy,23 100
Cyprus,22 700
Latvia,17 700
Lithuania,21 900
Luxembourg,32 100
Hungary,16 400
Malta,19 400
Netherlands,26 900
Austria,27 500
Poland,20 300
Portugal,20 200
Romania,20 100
Slovenia,20 200
Slovakia,17 800
Finland,25 400
Sweden,25 500
Iceland,27 700
Norway,29 600
Switzerland,27 300
United Kingdom,24 700
Bosnia and Herzegovina,9 600
Montenegro,14 600
North Macedonia,11 700
Albania,9 500
Serbia,12 300
