Panstwo,Poziom_cen
Belgium,117.7
Bulgaria,55.4
Czechia,78.4
Denmark,147.1
Germany,109.7
Estonia,93.1
Ireland,145.1
Greece,84.7
Spain,97.6
France,107.1
Croatia,68.9
Italy,101.2
Cyprus,94.6
Latvia,80.8
Lithuania,74.4
Luxembourg,152.8
Hungary,62.8
Malta,91.2
Netherlands,120.8
Austria,116.2
Poland,58.0
Portugal,86.4
Romania,52.7
Slovenia,88.6
Slovakia,80.2
Finland,128.1
Sweden,129.2
Iceland,173.2
Norway,153.0
Switzerland,184.4
United Kingdom,132.2
Bosnia and Herzegovina,54.6
Montenegro,55.3
North Macedonia,46.9
Albania,55.1
Serbia,57.3
