Panstwo;Wydatki_nominalne_euro
Belgium;366 943
Bulgaria;57 782
Czechia;161 274
Denmark;222 896
Germany;2 521 058
Estonia;22 514
Ireland;162 756
Greece;161 824
Spain;931 511
France;1 825 074
Croatia;47 448
Italy;1 380 113
Cyprus;19 573
Latvia;26 984
Lithuania;46 205
Luxembourg;32 029
Hungary;99 833
Malta;9 395
Netherlands;574 394
Austria;289 406
Poland;445 759
Portugal;179 984
Romania;201 876
Slovenia;37 687
Slovakia;78 407
Finland;180 830
Sweden;345 106
Iceland;18 352
Norway;247 105
Switzerland;441 445
United Kingdom;2 217 043
Bosnia and Herzegovina;17 950
Montenegro;4 997
North Macedonia;10 031
Albania;14 494
Serbia;46 928
